Time,Country,NB of detections,NB of violations
01/01/2020 07:51:34,United States,62,63
01/01/2020 13:08:49,United States,71,77
01/01/2020 17:02:13,United States,62,89
02/01/2020 09:38:52,France,86,85
02/01/2020 19:21:32,Germany,91,91
02/01/2020 21:11:40,Ireland,90,97
03/01/2020 04:21:16,United States,83,99
04/01/2020 13:31:47,Germany,70,65
05/01/2020 16:30:36,Germany,77,62
06/01/2020 07:21:49,United States,94,82
06/01/2020 13:10:25,Canada,74,74
06/01/2020 17:26:30,Denmark,75,67
06/01/2020 20:41:54,United States,62,63
07/01/2020 20:30:05,Moldova,83,60
07/01/2020 20:49:39,United States,99,83
08/01/2020 08:48:59,United States,74,99
08/01/2020 23:37:52,United Kingdom,99,77
09/01/2020 15:32:18,Spain,73,74
10/01/2020 06:25:48,United States,94,88
10/01/2020 15:30:39,Canada,75,91
11/01/2020 03:23:05,United Kingdom,83,93
11/01/2020 16:47:51,South Africa,14,17
12/01/2020 10:57:53,United States,36,19
12/01/2020 11:36:20,United States,50,28
13/01/2020 05:11:45,United States,16,96
13/01/2020 13:20:58,India,21,74
15/01/2020 06:47:37,United Kingdom,96,46
17/01/2020 03:34:54,United States,60,96
17/01/2020 06:20:01,United States,74,65
18/01/2020 15:55:28,United States,77,55
21/01/2020 12:57:34,United States,15,26
22/01/2020 16:13:22,Canada,32,14
22/01/2020 20:22:26,United States,51,23
26/01/2020 20:13:05,United States,98,69
27/01/2020 00:51:34,Switzerland,72,46
27/01/2020 02:37:50,United Kingdom,39,46
27/01/2020 10:52:50,United States,91,49
28/01/2020 12:57:12,United States,16,46
29/01/2020 19:40:29,United States,85,93
30/01/2020 08:23:56,Ireland,41,32
30/01/2020 18:01:08,Canada,41,90
30/01/2020 18:04:15,United States,58,93
30/01/2020 20:25:12,Canada,23,18
31/01/2020 14:11:35,United States,25,12
31/01/2020 18:23:59,Netherlands,59,22
01/02/2020 01:56:19,United Kingdom,59,17
01/02/2020 23:41:14,Luxembourg,56,14
02/02/2020 04:05:26,United States,30,40
02/02/2020 21:53:42,United States,88,60
03/02/2020 02:24:01,United States,26,98
03/02/2020 19:14:55,Bahrain,13,11
04/02/2020 00:46:22,Norway,66,51
04/02/2020 05:56:32,Canada,38,84
04/02/2020 07:36:36,Kuwait,45,56
04/02/2020 09:08:22,United States,14,21
04/02/2020 22:45:46,Canada,70,52
04/02/2020 22:48:27,Australia,61,35
05/02/2020 02:58:03,United States,45,37
05/02/2020 10:24:28,Switzerland,72,43
06/02/2020 07:10:39,Switzerland,68,50
06/02/2020 08:54:38,United States,64,76
07/02/2020 00:13:21,Netherlands,14,58
07/02/2020 04:53:51,United States,27,60
07/02/2020 13:36:24,United States,439,347
07/02/2020 19:36:16,Norway,351,362
09/02/2020 13:22:30,United States,298,331
10/02/2020 01:14:54,Netherlands,458,489
11/02/2020 13:41:27,United States,140,101
11/02/2020 21:55:27,France,187,391
13/02/2020 22:48:33,Switzerland,153,286
14/02/2020 04:54:32,United States,220,215
14/02/2020 04:57:01,United States,487,234
14/02/2020 23:15:39,Ireland,229,483
15/02/2020 06:35:11,France,151,323
15/02/2020 06:41:40,United States,307,403
16/02/2020 05:17:55,Ireland,184,389
16/02/2020 22:28:16,United States,426,492
17/02/2020 01:38:53,United States,162,500
17/02/2020 01:53:59,United States,455,483
17/02/2020 07:56:37,United States,240,108
18/02/2020 01:22:50,Canada,184,322
19/02/2020 13:58:58,United States,264,253
19/02/2020 22:18:15,United States,90,27
20/02/2020 17:39:50,Australia,40,52
20/02/2020 21:14:28,United States,54,55
21/02/2020 13:00:02,Turkey,46,95
22/02/2020 11:31:51,Norway,82,41
22/02/2020 13:32:16,Germany,71,64
22/02/2020 20:02:30,United States,17,81
23/02/2020 11:07:06,United States,94,75
23/02/2020 19:30:21,Canada,93,72
24/02/2020 15:40:45,United States,13,83
24/02/2020 21:46:02,United States,100,51
25/02/2020 23:45:59,United Kingdom,64,54
26/02/2020 00:22:02,United States,70,82
26/02/2020 08:46:59,Australia,45,19
26/02/2020 16:16:38,Ireland,85,16
27/02/2020 18:54:59,Turkey,10,85
27/02/2020 23:27:22,United Arab Emirates,85,91
28/02/2020 11:06:24,Canada,61,37
28/02/2020 19:41:35,United States,42,74
02/03/2020 00:01:18,United States,52,58
03/03/2020 14:21:04,Canada,41,84
03/03/2020 23:13:07,United States,15,26
04/03/2020 01:58:51,United States,68,67
04/03/2020 08:24:01,United States,78,46
04/03/2020 11:30:15,United States,28,11
04/03/2020 19:05:17,United States,49,24
06/03/2020 06:49:27,United Kingdom,52,27
07/03/2020 07:52:24,United States,99,60
07/03/2020 09:10:53,United States,11,61
07/03/2020 09:49:44,United States,99,19
08/03/2020 03:41:48,United States,38,88
08/03/2020 04:05:28,Ireland,22,61
08/03/2020 18:37:32,Canada,10,55
08/03/2020 23:52:26,United States,46,50
10/03/2020 00:09:44,United States,42,57
11/03/2020 03:31:45,United States,11,30
12/03/2020 14:51:12,United Kingdom,56,77
13/03/2020 04:03:54,United States,92,33
14/03/2020 03:35:41,Netherlands,20,65
15/03/2020 11:16:00,United States,59,73
15/03/2020 16:39:43,United Kingdom,69,73
16/03/2020 00:20:43,Canada,54,59
16/03/2020 16:25:12,Denmark,81,88
17/03/2020 04:54:51,United States,68,42
18/03/2020 00:31:46,United States,79,33
20/03/2020 12:55:43,United States,49,44
20/03/2020 19:03:40,United States,60,35
21/03/2020 01:00:41,Denmark,56,87
22/03/2020 08:17:06,United States,40,65
22/03/2020 12:22:45,United States,93,51
22/03/2020 16:38:42,United States,82,14
22/03/2020 23:46:36,Australia,28,71
23/03/2020 08:51:39,United Kingdom,20,16
23/03/2020 18:55:21,Canada,20,88
25/03/2020 06:02:12,Canada,63,69
25/03/2020 13:44:48,United Kingdom,81,67
25/03/2020 23:09:00,Italy,92,70
26/03/2020 02:56:03,United Kingdom,35,58
26/03/2020 20:18:23,United States,39,44
27/03/2020 02:30:01,United States,19,79
27/03/2020 14:21:44,United States,25,27
29/03/2020 08:34:08,United States,72,28
30/03/2020 01:21:30,United States,18,18
31/03/2020 02:18:51,United States,97,89
31/03/2020 02:22:10,Australia,93,55
31/03/2020 02:42:52,South Africa,87,95
31/03/2020 12:34:11,Australia,54,59
01/04/2020 00:03:20,United States,51,97
01/04/2020 15:39:01,United States,82,29
02/04/2020 16:12:54,United Kingdom,14,99
03/04/2020 14:25:52,Australia,16,82
03/04/2020 22:42:20,Israel,20,92
