Time,Country,NB of detections,NB of violations
1/2/2009 6:17,United Kingdom,53,24
1/2/2009 4:53,United States,24,90
1/2/2009 13:08,United States,40,65
1/3/2009 14:44,Australia,40,52
1/4/2009 12:56,United States,47,94
1/4/2009 13:19,United States,68,67
1/4/2009 20:11,United States,100,72
1/2/2009 20:09,United States,53,64
1/4/2009 13:17,Israel,20,92
1/4/2009 14:11,France,19,82
1/5/2009 2:42,United States,11,30
1/5/2009 5:39,Netherlands,69,91
1/2/2009 9:16,United States,28,71
1/5/2009 10:08,United States,42,70
1/2/2009 14:18,United States,52,58
1/4/2009 1:05,Ireland,52,62
1/5/2009 11:37,Canada,22,47
1/6/2009 5:02,India,21,74
1/6/2009 7:45,United Kingdom,21,81
1/2/2009 7:35,United States,74,65
1/6/2009 12:56,United Kingdom,62,41
1/1/2009 11:05,Ireland,85,16
1/5/2009 4:10,South Africa,14,17
1/6/2009 7:18,United States,18,18
1/2/2009 1:11,Finland,60,85
1/1/2009 2:24,United States,98,47
1/7/2009 8:08,United States,15,26
1/2/2009 2:57,United Kingdom,14,99
1/1/2009 20:21,United States,28,11
1/8/2009 0:42,United States,82,14
1/8/2009 3:56,United States,86,38
1/8/2009 3:16,United States,39,44
1/8/2009 1:59,Switzerland,72,43
1/3/2009 9:03,United States,95,95
1/5/2009 13:17,Netherlands,59,22
1/6/2009 7:46,United States,59,73
1/5/2009 20:00,Australia,54,59
1/8/2009 16:24,United States,42,74
1/9/2009 6:39,United States,19,79
1/6/2009 22:19,United States,84,43
1/6/2009 23:00,United States,49,24
1/7/2009 7:44,United States,84,86
1/3/2009 13:24,Denmark,76,37
1/7/2009 15:12,United States,14,21
1/7/2009 20:15,United States,83,77
1/3/2009 10:11,United States,64,76
1/9/2009 15:58,United Kingdom,33,51
1/3/2009 13:11,Denmark,56,87
1/10/2009 12:57,United States,68,75
1/10/2009 14:43,Ireland,41,32
1/10/2009 12:05,United States,36,19
1/6/2009 1:20,Australia,93,55
1/10/2009 14:56,United States,14,41
1/7/2009 10:01,United States,16,96
1/1/2009 1:26,United States,38,88
1/11/2009 2:04,Australia,16,82
1/11/2009 14:17,Belgium,97,76
1/10/2009 21:38,Canada,85,24
1/7/2009 6:18,United States,33,11
1/4/2009 8:39,Canada,70,52
1/5/2009 0:31,Sweden,94,65
1/2/2009 6:07,United Kingdom,64,54
1/12/2009 3:25,United States,26,55
1/4/2009 13:56,United Kingdom,98,40
1/7/2009 0:12,Switzerland,72,46
1/12/2009 5:18,United Kingdom,35,58
1/8/2009 15:16,United States,11,61
1/11/2009 11:33,Norway,48,62
1/7/2009 20:22,Canada,63,69
1/2/2009 22:00,United States,97,89
1/5/2009 13:52,Switzerland,54,59
1/8/2009 20:32,Canada,44,83
1/8/2009 13:34,Canada,32,14
1/11/2009 13:08,United States,77,60
1/12/2009 19:04,Canada,93,72
1/12/2009 13:41,Luxembourg,56,14
1/11/2009 10:38,United Kingdom,96,46
1/13/2009 5:57,Italy,92,70
1/13/2009 6:13,United States,25,12
1/8/2009 13:14,Norway,66,51
1/2/2009 11:41,United States,66,50
1/7/2009 19:50,United States,22,76
1/1/2009 20:28,Canada,20,88
1/3/2009 15:22,Canada,86,59
1/12/2009 3:03,United States,49,44
1/5/2009 8:58,Germany,13,16
1/10/2009 14:03,United Kingdom,59,17
1/13/2009 11:26,United States,60,35
1/2/2009 12:18,Denmark,44,33
1/14/2009 4:54,United States,33,28
1/6/2009 17:15,Moldova,10,68
1/3/2009 13:56,United States,50,28
1/4/2009 7:54,Canada,44,97
1/12/2009 7:28,Spain,98,19
1/6/2009 15:15,Ireland,40,81
1/13/2009 23:56,United States,54,55
1/14/2009 19:32,United States,72,28
1/6/2009 21:13,Canada,41,84
1/14/2009 11:19,United Arab Emirates,85,91
1/13/2009 19:39,United States,88,69
1/8/2009 7:26,United Kingdom,81,67
1/15/2009 2:40,United States,51,75
1/12/2009 6:40,Bahrain,13,11
1/15/2009 3:43,France,12,23
1/5/2009 15:39,United States,91,49
1/10/2009 5:21,United States,76,50
1/15/2009 4:12,United States,100,51
1/12/2009 11:48,Canada,61,37
1/6/2009 10:48,United States,88,60
1/14/2009 9:10,United States,78,46
1/14/2009 22:44,United States,26,98
1/6/2009 7:23,Canada,42,33
1/1/2009 5:04,Netherlands,20,65
1/15/2009 11:56,Canada,23,18
1/15/2009 11:58,Canada,54,59
1/12/2009 9:43,Germany,34,64
1/15/2009 12:33,United States,82,29
1/14/2009 11:35,United States,89,93
1/14/2009 15:40,United States,19,68
1/3/2009 11:08,United States,60,33
1/12/2009 1:37,Australia,45,19
1/16/2009 7:21,United States,15,26
1/15/2009 12:54,Canada,10,55
1/7/2009 7:19,Belgium,44,66
1/3/2009 9:56,United States,45,47
1/16/2009 17:41,United States,30,40
1/5/2009 5:33,United States,58,93
1/2/2009 0:50,Turkey,46,95
1/13/2009 1:51,South Africa,87,95
1/15/2009 10:24,United Kingdom,69,73
1/11/2009 8:59,United States,24,43
1/15/2009 15:56,United States,27,60
1/1/2009 12:19,United States,92,33
1/6/2009 14:03,United States,13,36
1/9/2009 15:32,United Kingdom,63,77
1/17/2009 12:59,Netherlands,14,58
1/12/2009 12:37,United States,51,97
1/4/2009 7:43,United States,89,54
1/17/2009 16:22,United States,52,78
1/1/2009 3:51,Netherlands,37,61
1/18/2009 5:27,United States,80,60
1/18/2009 5:15,Ireland,22,61
1/1/2009 1:51,Denmark,81,88
1/18/2009 6:30,Switzerland,37,52
1/11/2009 10:51,Germany,71,64
1/4/2009 17:02,United States,21,45
1/17/2009 1:23,Kuwait,45,56
1/18/2009 2:16,United States,77,55
1/18/2009 11:34,United Kingdom,52,27
1/18/2009 4:38,United Kingdom,70,83
1/18/2009 13:26,Ireland,41,63
1/18/2009 11:53,United States,79,33
1/18/2009 12:04,United States,85,93
1/13/2009 19:54,United States,99,60
1/5/2009 21:06,United States,17,81
1/14/2009 6:32,United States,39,15
1/4/2009 23:48,Canada,41,90
1/18/2009 16:32,United States,98,69
1/18/2009 17:04,United States,51,23
1/18/2009 17:20,United States,55,97
1/18/2009 17:39,United States,45,37
1/11/2009 11:20,United States,61,62
1/13/2009 20:59,Canada,38,84
1/12/2009 16:50,United States,80,79
1/12/2009 15:12,United States,60,96
1/6/2009 12:27,Netherlands,60,91
1/9/2009 18:52,United States,97,21
1/18/2009 23:17,United States,70,82
1/7/2009 8:21,Norway,82,41
1/3/2009 9:54,Turkey,10,85
1/5/2009 19:37,United States,99,19
1/4/2009 12:49,Canada,98,36
1/8/2009 11:55,Germany,95,52
1/14/2009 18:21,United States,25,27
1/11/2009 19:01,United States,93,51
1/14/2009 5:20,Switzerland,68,50
1/15/2009 8:07,United States,46,50
1/15/2009 8:10,United States,52,63
1/2/2009 17:45,United States,94,40
1/19/2009 16:10,United States,13,83
1/19/2009 16:55,United States,16,46
1/10/2009 17:41,United States,94,75
1/18/2009 13:49,United States,63,52
1/15/2009 5:47,United States,16,45
1/19/2009 23:06,United States,86,61
1/19/2009 11:12,United Kingdom,39,46
1/4/2009 1:38,Australia,28,71
1/20/2009 3:11,United Kingdom,58,60
1/3/2009 10:52,United States,23,24
1/20/2009 5:24,United States,68,42
1/20/2009 6:03,United States,42,57
1/10/2009 11:37,United States,49,92
1/20/2009 5:50,United Kingdom,56,77
1/19/2009 16:32,United States,90,27
1/18/2009 10:42,United States,73,91
1/7/2009 6:11,France,51,42
1/3/2009 8:29,United Kingdom,20,16
